"Route ID:","Route Location:","X (Longitude)","Y (Latitude)"
40,"20TH AVE BETWEEN RIVERA ST AND SANTIAGO ST",-122.47695974,37.74580098
12056,"20TH AVE BETWEEN SLOAT BLVD AND OCEAN AVE",-122.47609989,37.73362245
4610,"20TH ST BETWEEN 03RD ST AND TENNESSEE ST",-122.38902111,37.76046314
3028,"20TH ST BETWEEN 20TH ST AND NOE ST",-122.43166606,37.75777831
23,"20TH ST BETWEEN ARKANSAS ST AND WISCONSIN ST",-122.39869859,37.75987974
4601,"20TH ST BETWEEN BRYANT ST AND FLORIDA ST",-122.41026433,37.75916399
3020,"20TH ST BETWEEN CASTRO ST AND COLLINGWOOD ST",-122.43525279,37.75765482
3037,"20TH ST BETWEEN CHURCH ST AND SANCHEZ ST",-122.42915935,37.75802166
20,"20TH ST BETWEEN DE HARO ST AND RHODE ISLAND ST",-122.40159568,37.7597046
3039,"20TH ST BETWEEN GUERRERO ST AND DOLORES ST",-122.42462767,37.75829569
4611,"20TH ST BETWEEN ILLINOIS ST AND 03RD ST",-122.38806259,37.76052062
27,"20TH ST BETWEEN MISSISSIPPI ST AND TEXAS ST",-122.3948338,37.76011323
25,"20TH ST BETWEEN MISSOURI ST AND CONNECTICUT ST",-122.3967664,37.75999655
4609,"20TH ST BETWEEN TENNESSEE ST AND MINNESOTA ST",-122.38996786,37.76044459
3040,"20TH ST BETWEEN VALENCIA ST AND GUERRERO ST",-122.42238013,37.75843153
3006,"21st Ave BETWEEN Cabrillo St AND Fulton St",-122.4799723,37.77369896
3009,"21st Ave BETWEEN Geary Blvd AND Anza St",-122.48038055,37.77932007
3002,"21ST AVE BETWEEN LAWTON ST AND MORAGA ST",-122.47880944,37.75694313
3005,"21ST AVE BETWEEN LINCOLN WAY AND IRVING ST",-122.47933247,37.7644092
3001,"21st Ave BETWEEN Moraga St AND Noriega St",-122.47868003,37.75507971
2979,"21ST AVE BETWEEN OCEAN AVE AND EUCALYPTUS DR",-122.47689324,37.73188228
2981,"21ST AVE BETWEEN VICENTE ST AND WAWONA ST",-122.4775089,37.73829515
2914,"21ST ST BETWEEN COLLINGWOOD ST AND DIAMOND ST",-122.4362168,37.75600171
4618,"21ST ST BETWEEN HAMPSHIRE ST AND YORK ST",-122.40820287,37.75767799
2964,"21St St BETWEEN Mission St AND San Carlos St",-122.41929507,37.75701169
2967,"21ST ST BETWEEN SHOTWELL ST AND SOUTH VAN NESS AVE",-122.4161729,37.75719953
2969,"21st St BETWEEN Treat Ave AND Folsom St",-122.41399416,37.75733055
2955,"21st St BETWEEN Valencia St AND Guerrero St",-122.42222407,37.7568354
4648,"21ST ST BETWEEN WORTH ST AND GRAND VIEW AVE",-122.44018875,37.75522836
4639,"22ND AVE BETWEEN GEARY BLVD AND ANZA ST",-122.48144818,37.77926863
4634,"22ND AVE BETWEEN IRVING ST AND JUDAH ST",-122.48027173,37.76248956
2904,"22nd Ave BETWEEN Noriega St AND Ortega St",-122.4796224,37.75316662
2899,"22nd Ave BETWEEN Vicente St AND Wawona St",-122.47857226,37.73824804
2879,"22ND ST BETWEEN 03RD ST AND TENNESSEE ST",-122.38878188,37.75791169
2842,"22ND ST BETWEEN ALABAMA ST AND HARRISON ST",-122.41173526,37.75586004
4655,"22ND ST BETWEEN AMES ST AND FAIR OAKS ST",-122.42402347,37.75512114
2799,"22ND ST BETWEEN CHATTANOOGA ST AND CHURCH ST",-122.42718478,37.7549295
4665,"22ND ST BETWEEN DE HARO ST AND RHODE ISLAND ST",-122.40135102,37.7571528
2843,"22ND ST BETWEEN FLORIDA ST AND ALABAMA ST",-122.41082299,37.75591467
2830,"22nd St BETWEEN Folsom St AND Shotwell St",-122.41493044,37.75566679
2846,"22ND ST BETWEEN HAMPSHIRE ST AND YORK ST",-122.40805055,37.75608175
4663,"22ND ST BETWEEN KANSAS ST AND VERMONT ST",-122.40293844,37.75706021
2878,"22ND ST BETWEEN MINNESOTA ST AND INDIANA ST",-122.39069214,37.75779689
2847,"22nd St BETWEEN Potrero Ave AND Hampshire St",-122.40711883,37.75613788
